vendor_name,spend,department,description,recommendation,source,confidence
Salesforce Uk Ltd-Uk,3117225.8877216,SaaS,CRM and enterprise cloud platform,Optimize,database,High
Navan (Tripactions Inc),357983.6164072,G&A,Corporate travel management platform,Consolidate,database,High
Bdo Llp,343081.3853496,Finance,Audit advisory and accounting services,Consolidate,database,High
Tog Uk Properties Limited,263821.1593744,Facilities,Flexible office space and coworking provider,Consolidate,database,High
Cloudcrossing Bvba,208675.1466944,Engineering,Cloud and network infrastructure services,Optimize,database,High
Zagrebtower D.O.O.,183754.4183896,Facilities,Office building lease and management,Consolidate,database,High
Innovent Spaces Private Limited,147347.8039136,Facilities,Office space and coworking provider,Consolidate,database,High
Weking D.O.O.,144093.201148,Facilities,Office space and workplace solutions,Consolidate,database,High
Jensten Insurance Brokers,142699.7305688,Support,Commercial insurance brokerage,Consolidate,database,High
Gpt Space & Co,133506.776816,Facilities,Office space and coworking provider,Consolidate,database,High
Aetna Life And Casualty Ltd,124661.4588432,Support,Health and life insurance provider,Consolidate,database,High
Rsm Uk Corporate Finance Llp,117077.8757856,M&A,Corporate finance advisory services,Consolidate,database,High
Amazon Web Services Llc,106399.2364888,Engineering,Cloud infrastructure platform (AWS),Optimize,database,High
Telefonica Global Services Gmbh,89879.5842232,Engineering,Telecommunications services provider,Optimize,database,High
Hr Solution International Gmbh,80822.7573232,Professional Services,HR consulting and outsourcing services,Consolidate,database,High
4I Advisory Services,71860.3409824,Professional Services,Operational transformation and process improvement consulting,Consolidate,database,High
Bisley Law Ltd,67414.2623224,Legal,Corporate and commercial legal services,Optimize,database,High
Infosys,66570.422208,Engineering,IT consulting and technology services,Optimize,database,High
Big Frontier Pty Ltd (Cult Of Monday),66131.303328,Engineering,Digital agency and technology services,Optimize,database,High
Harmonic Group Limited,65417.735148,Professional Services,Executive recruitment and talent advisory,Consolidate,database,High
Wework Singapore Pte. Ltd.,64373.3640784,Facilities,Global coworking and flexible office space,Consolidate,database,High
Cloud Technology Solutions Ltd,60661.3458128,Engineering,Google Cloud solutions and consulting,Optimize,database,High
"Navan, Inc",57929.2945144,G&A,Corporate travel management platform,Consolidate,database,High
Tmforum,57560.4346552,Professional Services,Telecommunications industry forum membership,Optimize,database,High
Linkedin Ireland Limited,55572.6898584,Marketing,Professional networking and advertising,Optimize,database,High
Kimble Applications Ltd,52825.2693992,SaaS,Professional services automation platform,Optimize,database,High
Sage Uk Limited,46894.9689248,SaaS,Accounting and payroll software,Optimize,database,High
Grant Thornton,46538.5507672,Finance,Audit advisory and accounting services,Consolidate,database,High
"Sveuä_x008d_Iliå¡Te U Zagrebu, Studentski Centar",44299.0444792,G&A,Student center venue for corporate events,Terminate,database,High
Ss&C Intralinks Inc,39966.4048632,SaaS,Virtual data room platform,Optimize,database,High
Veniture D.O.O.,39342.1241888,Engineering,Software development and technology services,Optimize,database,High
Accutrainee Limited,38840.7968008,Professional Services,Legal trainee placement services,Consolidate,database,High
Mason Frank International Ltd,38147.7208352,Professional Services,Salesforce recruitment specialist,Consolidate,database,High
